Country Group,Country
European Union (27),Austria
European Union (27),Belgium
European Union (27),Belgium-Luxembourg
European Union (27),Bulgaria
European Union (27),Croatia
European Union (27),Cyprus
European Union (27),Czechia
European Union (27),Denmark
European Union (27),Estonia
European Union (27),Finland
European Union (27),France
European Union (27),Germany
European Union (27),Germany Fr
European Union (27),Germany Nl
European Union (27),Greece
European Union (27),Hungary
European Union (27),Ireland
European Union (27),Italy
European Union (27),Latvia
European Union (27),Lithuania
European Union (27),Luxembourg
European Union (27),Malta
European Union (27),Netherlands
European Union (27),Poland
European Union (27),Portugal
European Union (27),Romania
European Union (27),Slovakia
European Union (27),Slovenia
European Union (27),Spain
European Union (27),Sweden
